customer_id,product_id,rating,content,title,thank_count
828830,21046694,5,"Mong shop và tiki đừng hợp tác với bên vận chuyển hoặc lên tiếng nhắc nhở họ. . Mình không hài lòng về việc sách mình ra nông nỗi này.. Rõ ràng biết đơn hàng là sách mà còn xé tan nát thế này, làm hỏng hết sách của mình. . Thật là không chấp nhận được.",Cực kì hài lòng,1
5429527,21046694,5,"Chất lượng sách rất tốt nha các bạn, không long giấy, mục lục đúng trang, super chim ưngg. Tiki vận chuyển perfect như mọi khi. P.s : 5*****!!!",Mua mua mua ngay thôiii,0
10462259,21046694,5,,Cực kì hài lòng,0
29468438,21046694,5,,Cực kì hài lòng,0
7496449,21046694,2,"Theo thông tin là sách tiếng Anh, tôi đặt hàng sách tiếng Anh nhưng khi nhận là sách tiếng Việt. Thật thất vọng và mất thời gian đổi trả. Sách được đặt khi chờ giao hàng đã lâu, nay chờ hàng đổi trả vẫn chưa có thông báo hàng được đổi lại khi nào.",Giao hàng không đúng sản phẩm,2
719443,21046694,3,Đọc cảm thấy giống đang đọc sách cho đa cấp vậy. Lời giới thiệu và tự khen ngợi sách ngập ngụa từ đầu tới cuối. Phô trương và vắt sữa,Bình thường,0
17857154,21046694,5,"Mình mới oder xong mà muốn rep ngay,tuy giảm được ít hơn shop khác nhưng chất lượng sách rất tốt.Rất ưng!!!",Cực kì hài lòng,0
1220835,21046694,5,"Rất hài lòng về sản phẩm;. Tiki giao hàng rất tốt, trước thời gian dự kiến",Cực kì hài lòng,0
10080842,21046694,5,"Như mong đợi, chất lượng sách tốt",Cực kì hài lòng,1
9698506,21046694,5,,Cực kì hài lòng,0
7728780,21046694,5,Quấn sách hay,Cực kì hài lòng,0
16455312,21046694,4,,Hài lòng,0
6969479,21046694,5,,Cực kì hài lòng,0
17812355,21046694,5,,Cực kì hài lòng,0
10617331,21046694,5,,Cực kì hài lòng,0
19551282,21046694,5,,Cực kì hài lòng,0
8505709,21046694,5,,Cực kì hài lòng,0
6001334,21046694,5,,Cực kì hài lòng,0
16511613,21046694,5,,Cực kì hài lòng,0
19071127,21046694,5,,Cực kì hài lòng,0
17478000,21046694,5,,Cực kì hài lòng,0
14800694,21046694,5,Sách đẹp. Chất lượng. Tốt.,Cực kì hài lòng,1
16086239,21046694,5,Sách đọc hay lắm ạ................................,Cực kì hài lòng,0
13460176,21046694,5,Hài lòng sp.,Cực kì hài lòng,0
10027229,271089997,5,Sách xịn,Cực kì hài lòng,0
